GeranCellId,Parameter,ext_Value,int_Value,e_NodeId,i_NodeId,equal,IsNumeric
DA4V99B,bsRxMin,150,96,CBEA5,DBEA4,False,False
DA4V99C,bsRxMin,150,96,CBEA5,DBEA4,False,False
DA4V99A,bsRxMin,150,96,CBEA5,DBEA4,False,False
DA4W72C,bsRxMin,150,96,CBEA5,DBEA4,False,False
DA4GD7B,bsRxMin,150,96,CBEA5,DBEA4,False,False
DA5NS7A,bsRxMin,150,96,CBEA5,DBEA5,False,False
DA5SU4B,bsRxMin,150,96,CBEA5,DBEA5,False,False
CA4217A,bsRxMin,150,96,CBEA5,DBEA4,False,False
CGPCHD0A,bsRxMin,150,96,CBEB3,CBEC2,False,False
CGPCHD0C,bsRxMin,150,96,CBEB3,CBEC2,False,False
CGMIRF7C,bsRxMin,150,96,CBEA8,CBEB0,False,False
CGCDG67B,bsRxSuff,105,150,CBEC2,CBEB3,False,False
CC3O52A,bsRxSuff,105,150,CBEC2,CBEC3,False,False
CC3L74A,bsRxSuff,105,150,CBEC2,CBEC3,False,False
CC3L74B,bsRxSuff,105,150,CBEC2,CBEC3,False,False
CC3L74C,bsRxSuff,105,150,CBEC2,CBEC3,False,False
CC3O12A,bsRxSuff,105,150,CBEC2,CBEC3,False,False
CC3O12C,bsRxSuff,105,150,CBEC2,CBEC3,False,False
CC3O52C,bsRxSuff,105,150,CBEC2,CBEC3,False,False
CC3O68C,bsRxSuff,105,150,CBEC2,CBEC3,False,False
CC3B44C,bsRxSuff,105,150,CBEC2,CBEC3,False,False
CC3G60A,bsRxSuff,105,150,CBEC2,CBEC3,False,False
CC3885C,bsRxSuff,105,150,CBEC2,CBEC3,False,False
CC3063A,bsRxSuff,105,150,CBEC2,CBEC3,False,False
CC3063B,bsRxSuff,105,150,CBEC2,CBEC3,False,False
CC3063C,bsRxSuff,105,150,CBEC2,CBEC3,False,False
CC3B44A,bsRxSuff,105,150,CBEC2,CBEC3,False,False
CC3885B,bsRxSuff,105,150,CBEC2,CBEC3,False,False
CGCDG53C,bsRxSuff,105,150,CBEC2,CBEB3,False,False
