GeranCellId,Parameter,ext_Value,int_Value,e_NodeId,i_NodeId,equal,IsNumeric,part_2
CC3063B,bsRxSuff,105,150,CBEC2,CBEC3,False,False,bsRxSuff:150
CC3063C,bsRxSuff,105,150,CBEC2,CBEC3,False,False,bsRxSuff:150
CC3B44A,bsRxSuff,105,150,CBEC2,CBEC3,False,False,bsRxSuff:150
CC3885B,bsRxSuff,105,150,CBEC2,CBEC3,False,False,bsRxSuff:150
CGCDG53C,bsRxSuff,105,150,CBEC2,CBEB3,False,False,bsRxSuff:150
CGCDG67C,bsRxSuff,105,150,CBEC2,CBEB3,False,False,bsRxSuff:150
CGCDG28C,bsRxSuff,105,150,CBEC2,CBEB3,False,False,bsRxSuff:150
CGCDG53B,bsRxSuff,105,150,CBEC2,CBEB3,False,False,bsRxSuff:150
CGCDG53A,bsRxSuff,105,150,CBEC2,CBEB3,False,False,bsRxSuff:150
CGBYZ16B,bsRxSuff,105,150,CBEC2,CBEB3,False,False,bsRxSuff:150
CGBYZ78B,bsRxSuff,105,150,CBEC2,CBEB3,False,False,bsRxSuff:150
LXRGN10C,bsRxSuff,105,150,DBEA2,CBEA5,False,False,bsRxSuff:150
DA5IF4B,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5XY2B,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5704C,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5W39A,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5BD7B,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5454B,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5454A,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5136A,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5NQ5A,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5IF4A,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5RB6B,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5YK0B,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5ZD8B,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5QU8B,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5704B,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5BN1C,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5YK0C,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5C52B,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5C19A,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5136C,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5A6TB,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5BN1B,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5BN1A,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5QU8A,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5731C,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5V89C,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5731B,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5161B,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5C12B,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5WD7C,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5161A,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5161C,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5136B,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5WD7A,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5WD7B,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5XY2C,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5NF3A,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5NF3B,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5BD7A,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5704A,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5V89A,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5V89B,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5748B,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5ZM5C,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5ZH2B,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5530A,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5C19B,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
DA5XY2A,bsRxSuff,105,150,DBEA4,DBEA5,False,False,bsRxSuff:150
NOSNM33A,bsRxSuff,105,150,DBEA4,CBEA5,False,False,bsRxSuff:150
NOCTK21A,bsRxSuff,105,150,DBEA5,CBEA5,False,False,bsRxSuff:150
LXRGN10B,bsRxSuff,105,150,DBEA5,CBEA5,False,False,bsRxSuff:150
CMMHG27B,bsRxSuff,105,150,DBEA5,CBEA5,False,False,bsRxSuff:150
CMNKT79A,bsRxSuff,105,150,DBEA5,DBEA4,False,False,bsRxSuff:150
CMNKT39A,bsRxSuff,105,150,DBEA5,DBEA4,False,False,bsRxSuff:150
LXRGN41B,bsRxSuff,105,150,DBEA5,CBEA5,False,False,bsRxSuff:150
CGPCHD0A,bsRxSuff,105,150,CBEC3,CBEC2,False,False,bsRxSuff:150
CGPCHD0B,bsRxSuff,105,150,CBEC3,CBEC2,False,False,bsRxSuff:150
DA4YM6B,bsRxSuff,105,150,CBEA5,DBEA4,False,False,bsRxSuff:150
DA5A8AB,bsRxSuff,105,150,CBEA5,DBEA5,False,False,bsRxSuff:150
DA5452B,bsRxSuff,105,150,CBEA5,DBEA5,False,False,bsRxSuff:150
DA5C83B,bsRxSuff,105,150,CBEA5,DBEA5,False,False,bsRxSuff:150
DA5C83A,bsRxSuff,105,150,CBEA5,DBEA5,False,False,bsRxSuff:150
DA5NV9B,bsRxSuff,105,150,CBEA5,DBEA5,False,False,bsRxSuff:150
DA5E26B,bsRxSuff,105,150,CBEA5,DBEA5,False,False,bsRxSuff:150
DA2523A,bsRxSuff,105,150,CBEA5,DBEA2,False,False,bsRxSuff:150
DA2523B,bsRxSuff,105,150,CBEA5,DBEA2,False,False,bsRxSuff:150
DA2SG9A,bsRxSuff,105,150,CBEA5,DBEA2,False,False,bsRxSuff:150
